,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector
141785,141785,2023-02-03,BXP,75.4800033569336,75.4800033569336,Boston Properties,Real Estate
143822,143822,2023-02-03,C,50.95000076293945,50.95000076293945,Citigroup,Financials
145859,145859,2023-02-03,CAG,36.45000076293945,36.45000076293945,Conagra Brands,Consumer Staples
147896,147896,2023-02-03,CAH,78.66999816894531,78.66999816894531,Cardinal Health,Health Care
148622,148622,2023-02-03,CARR,46.88999938964844,46.88999938964844,Carrier Global,Industrials
150659,150659,2023-02-03,CAT,247.75999450683597,247.75999450683597,Caterpillar,Industrials
152696,152696,2023-02-03,CB,209.83999633789065,209.83999633789065,Chubb,Financials
154733,154733,2023-02-03,CBOE,124.26000213623048,124.26000213623048,Cboe Global Markets,Financials
156770,156770,2023-02-03,CBRE,87.13999938964844,87.13999938964844,CBRE,Real Estate
158807,158807,2023-02-03,CCI,145.97000122070312,145.97000122070312,Crown Castle,Real Estate
160844,160844,2023-02-03,CCL,11.800000190734863,11.800000190734863,Carnival Corporation,Consumer Discretionary
162047,162047,2023-02-03,CDAY,76.19999694824219,76.19999694824219,Ceridian,Information Technology
164084,164084,2023-02-03,CDNS,185.8500061035156,185.8500061035156,Cadence Design Systems,Information Technology
166121,166121,2023-02-03,CDW,201.0800018310547,201.0800018310547,CDW,Information Technology
168158,168158,2023-02-03,CE,125.4499969482422,125.4499969482422,Celanese,Materials
170195,170195,2023-02-03,CF,85.93000030517578,85.93000030517578,CF Industries,Materials
172232,172232,2023-02-03,CFG,44.43999862670898,44.43999862670898,Citizens Financial Group,Financials
174269,174269,2023-02-03,CHD,82.9000015258789,82.9000015258789,Church & Dwight,Consumer Staples
176306,176306,2023-02-03,CHRW,103.62000274658205,103.62000274658205,C. H. Robinson,Industrials
178343,178343,2023-02-03,CHTR,406.2999877929688,406.2999877929688,Charter Communications,Communication Services
180380,180380,2023-02-03,CI,292.5899963378906,292.5899963378906,Cigna,Health Care
182417,182417,2023-02-03,CINF,115.11000061035156,115.11000061035156,Cincinnati Financial,Financials
184454,184454,2023-02-03,CL,74.29000091552734,74.29000091552734,Colgate-Palmolive,Consumer Staples
186491,186491,2023-02-03,CLX,154.77000427246094,154.77000427246094,Clorox,Consumer Staples
188528,188528,2023-02-03,CMA,75.38999938964844,75.38999938964844,Comerica,Financials
190565,190565,2023-02-03,CMCSA,39.970001220703125,39.970001220703125,Comcast,Communication Services
192602,192602,2023-02-03,CME,176.5500030517578,176.5500030517578,CME Group,Financials
194639,194639,2023-02-03,CMG,1692.969970703125,1692.969970703125,Chipotle Mexican Grill,Consumer Discretionary
196676,196676,2023-02-03,CMI,256.1099853515625,256.1099853515625,Cummins,Industrials
198713,198713,2023-02-03,CMS,62.75,62.75,CMS Energy,Utilities
200750,200750,2023-02-03,CNC,71.01000213623047,71.01000213623047,Centene Corporation,Health Care
202787,202787,2023-02-03,CNP,29.200000762939453,29.200000762939453,CenterPoint Energy,Utilities
204824,204824,2023-02-03,COF,121.44000244140624,121.44000244140624,Capital One Financial,Financials
206861,206861,2023-02-03,COO,354.489990234375,354.489990234375,The Cooper Companies,Health Care
208898,208898,2023-02-03,COP,108.11000061035156,108.11000061035156,ConocoPhillips,Energy
210935,210935,2023-02-03,COST,514.7999877929688,514.7999877929688,Costco,Consumer Staples
212972,212972,2023-02-03,CPB,50.880001068115234,50.880001068115234,Campbell Soup,Consumer Staples
215009,215009,2023-02-03,CPRT,68.63999938964844,68.63999938964844,Copart,Industrials
217046,217046,2023-02-03,CRL,250.3500061035156,250.3500061035156,Charles River Laboratories,Health Care
219083,219083,2023-02-03,CRM,171.0399932861328,171.0399932861328,Salesforce,Information Technology
221120,221120,2023-02-03,CSCO,48.630001068115234,48.630001068115234,Cisco Systems,Information Technology
223157,223157,2023-02-03,CSX,32.27000045776367,32.27000045776367,CSX,Industrials
225194,225194,2023-02-03,CTAS,442.4200134277344,442.4200134277344,Cintas Corporation,Industrials
227231,227231,2023-02-03,CTLT,56.04999923706055,56.04999923706055,Catalent,Health Care
229268,229268,2023-02-03,CTRA,24.26000022888184,24.26000022888184,Coterra,Energy
231305,231305,2023-02-03,CTSH,68.22000122070312,68.22000122070312,Cognizant Technology Solutions,Information Technology
232237,232237,2023-02-03,CTVA,61.5,61.5,Corteva,Materials
234274,234274,2023-02-03,CVS,85.7699966430664,85.7699966430664,CVS Health,Health Care
236311,236311,2023-02-03,CVX,169.4499969482422,169.4499969482422,Chevron Corporation,Energy
238348,238348,2023-02-03,CZR,54.9900016784668,54.9900016784668,Caesars Entertainment,Consumer Discretionary
240385,240385,2023-02-03,D,60.25,60.25,Dominion Energy,Utilities
242422,242422,2023-02-03,DAL,39.58000183105469,39.58000183105469,Delta Air Lines,Industrials
244459,244459,2023-02-03,DD,72.9800033569336,72.9800033569336,DuPont,Materials
246496,246496,2023-02-03,DE,406.05999755859375,406.05999755859375,Deere & Co.,Industrials
248533,248533,2023-02-03,DFS,119.0,119.0,Discover Financial Services,Financials
250570,250570,2023-02-03,DG,228.08999633789065,228.08999633789065,Dollar General,Consumer Discretionary
252607,252607,2023-02-03,DGX,142.80999755859375,142.80999755859375,Quest Diagnostics,Health Care
254644,254644,2023-02-03,DHI,99.47000122070312,99.47000122070312,D. R. Horton,Consumer Discretionary
256681,256681,2023-02-03,DHR,269.8500061035156,269.8500061035156,Danaher Corporation,Health Care
258718,258718,2023-02-03,DIS,110.70999908447266,110.70999908447266,The Walt Disney Company,Communication Services
260755,260755,2023-02-03,DISH,15.079999923706056,15.079999923706056,Dish Network,Communication Services
262792,262792,2023-02-03,DLR,115.20999908447266,115.20999908447266,Digital Realty Trust,Real Estate
264829,264829,2023-02-03,DLTR,149.91000366210938,149.91000366210938,Dollar Tree,Consumer Discretionary
266866,266866,2023-02-03,DOV,159.61000061035156,159.61000061035156,Dover Corporation,Industrials
267844,267844,2023-02-03,DOW,60.0,60.0,Dow,Materials
269881,269881,2023-02-03,DPZ,359.6199951171875,359.6199951171875,Domino's Pizza,Consumer Discretionary
271918,271918,2023-02-03,DRI,147.4199981689453,147.4199981689453,Darden Restaurants,Consumer Discretionary
273955,273955,2023-02-03,DTE,112.76000213623048,112.76000213623048,DTE Energy,Utilities
275992,275992,2023-02-03,DUK,100.58000183105467,100.58000183105467,Duke Energy,Utilities
278029,278029,2023-02-03,DVA,85.4800033569336,85.4800033569336,DaVita,Health Care
280066,280066,2023-02-03,DVN,60.84999847412109,60.84999847412109,Devon Energy,Energy
282103,282103,2023-02-03,DXC,28.88999938964844,28.88999938964844,DXC Technology,Information Technology
284140,284140,2023-02-03,DXCM,108.43000030517578,108.43000030517578,DexCom,Health Care
286177,286177,2023-02-03,EA,113.91999816894533,113.91999816894533,Electronic Arts,Communication Services
288214,288214,2023-02-03,EBAY,50.65999984741211,50.65999984741211,eBay,Consumer Discretionary
290251,290251,2023-02-03,ECL,153.2899932861328,153.2899932861328,Ecolab,Materials
292288,292288,2023-02-03,ED,92.93000030517578,92.93000030517578,Consolidated Edison,Utilities
294325,294325,2023-02-03,EFX,225.9900054931641,225.9900054931641,Equifax,Industrials
296362,296362,2023-02-03,EIX,66.87000274658203,66.87000274658203,Edison International,Utilities
298399,298399,2023-02-03,EL,269.5400085449219,269.5400085449219,Estée Lauder Companies,Consumer Staples
300436,300436,2023-02-03,EMN,90.1999969482422,90.1999969482422,Eastman Chemical,Materials
302473,302473,2023-02-03,EMR,91.38999938964844,91.38999938964844,Emerson Electric Company,Industrials
304510,304510,2023-02-03,ENPH,222.92999267578125,222.92999267578125,Enphase Energy,Information Technology
306547,306547,2023-02-03,EOG,124.62000274658205,124.62000274658205,EOG Resources,Energy
308584,308584,2023-02-03,EQIX,733.0,733.0,Equinix,Real Estate
310621,310621,2023-02-03,EQR,64.7300033569336,64.7300033569336,Equity Residential,Real Estate
312658,312658,2023-02-03,ES,80.3499984741211,80.3499984741211,Eversource Energy,Utilities
314695,314695,2023-02-03,ESS,230.33999633789065,230.33999633789065,Essex Property Trust,Real Estate
316732,316732,2023-02-03,ETN,163.24000549316406,163.24000549316406,Eaton Corporation,Industrials
318769,318769,2023-02-03,ETR,108.08000183105467,108.08000183105467,Entergy,Utilities
320735,320735,2023-02-03,ETSY,147.5,147.5,Etsy,Consumer Discretionary
322772,322772,2023-02-03,EVRG,61.63999938964844,61.63999938964844,Evergy,Utilities
324809,324809,2023-02-03,EW,82.12000274658203,82.12000274658203,Edwards Lifesciences,Health Care
326846,326846,2023-02-03,EXC,40.900001525878906,40.900001525878906,Exelon,Utilities
